#
# Title: Attendance Rewards
# Description: Attend the game to collect daily rewards during the ongoing month.
# Author: Owsap
# Date: 2021.12.19 (YMD)
#
#	Group <MonthName>
#	{
#		Month	<Number>
#		<DayNumber>	<ItemVNum>	<ItemCount>
#	}
#

Group January
{
	Month	1
	1	55401	1
	2	55402	1
	3	55403	1
	4	55404	1
	5	55405	1
	6	55406	1
	7	55407	1

	8	9800	1
	9	10030	1
	10	10260	1
	11	10490	1
	12	10720	1
	13	10950	1
	14	71125	1

	15	53006	1
	16	53015	1
	17	53219	1
	18	53221	1
	19	53237	1
	20	53245	1
	21	53256	1

	22	76002	1
	23	50255	3
	24	100500	3
	25	85001	1
	26	71145	1
	27	80023	1
	28	71125	1
}
