m	224	153	150	200	0	0	2000s	100	1	8005
m	261	315	0	0	0	0	180s	100	1	8002
m	325	311	0	0	0	0	180s	100	1	8002
m	290	356	0	0	0	0	180s	100	1	8002
m	296	393	0	0	0	0	180s	100	1	8002
m	315	439	0	0	0	0	180s	100	1	8002
m	277	394	0	0	0	0	180s	100	1	8002
m	255	370	0	0	0	0	180s	100	1	8002
m	229	351	0	0	0	0	180s	100	1	8002
m	228	309	0	0	0	0	180s	100	1	8002
m	236	282	0	0	0	0	180s	100	1	8002
m	248	275	0	0	0	0	180s	100	1	8002
m	266	275	0	0	0	0	180s	100	1	8002
m	334	286	0	0	0	0	180s	100	1	8002
m	395	275	0	0	0	0	180s	100	1	8002
m	401	260	0	0	0	0	180s	100	1	8002
m	293	251	0	0	0	0	180s	100	1	8002
m	286	239	0	0	0	0	180s	100	1	8002
m	286	213	0	0	0	0	180s	100	1	8002
m	300	221	0	0	0	0	180s	100	1	8002
m	312	224	0	0	0	0	180s	100	1	8002
m	255	255	0	0	0	0	180s	100	1	8002
m	206	282	0	0	0	0	180s	100	1	8002
m	204	282	0	0	0	0	180s	100	1	8002
m	254	329	0	0	0	0	180s	100	1	8002
m	285	411	0	0	0	0	180s	100	1	8002
m	294	441	0	0	0	0	180s	100	1	8002
m	303	443	0	0	0	0	180s	100	1	8002
m	319	403	0	0	0	0	180s	100	1	8002
m	333	346	0	0	0	0	180s	100	1	8002
m	333	345	0	0	0	0	180s	100	1	8002
m	307	352	0	0	0	0	180s	100	1	8002
m	311	271	0	0	0	0	180s	100	1	8002
m	283	316	0	0	0	0	180s	100	1	8002
m	308	317	0	0	0	0	180s	100	1	8002
m	319	308	0	0	0	0	180s	100	1	8002
m	357	271	0	0	0	0	180s	100	1	8002
m	357	269	0	0	0	0	180s	100	1	8002
m	357	269	0	0	0	0	180s	100	1	8002
m	345	257	0	0	0	0	180s	100	1	8002
m	344	256	0	0	0	0	180s	100	1	8002
m	277	260	0	0	0	0	180s	100	1	8002
m	267	254	0	0	0	0	180s	100	1	8002
m	231	254	0	0	0	0	180s	100	1	8002
m	231	254	0	0	0	0	180s	100	1	8002
m	233	321	0	0	0	0	180s	100	1	8002
m	257	387	0	0	0	0	180s	100	1	8002
m	309	472	0	0	0	0	180s	100	1	8002
m	309	475	0	0	0	0	180s	100	1	8002
m	309	456	0	0	0	0	180s	100	1	8002
m	311	400	0	0	0	0	180s	100	1	8002
m	311	395	0	0	0	0	180s	100	1	8002
m	311	394	0	0	0	0	180s	100	1	8002
m	336	327	0	0	0	0	180s	100	1	8002
m	354	284	0	0	0	0	180s	100	1	8002
m	376	272	0	0	0	0	180s	100	1	8002
m	380	259	0	0	0	0	180s	100	1	8002
m	375	259	0	0	0	0	180s	100	1	8002
m	179	817	150	200	0	0	1800s	100	1	8004
m	900	873	200	150	0	0	1700s	100	1	8003
m	556	901	200	150	0	0	1850s	100	1	8002
m	775	92	200	150	0	0	1700s	100	1	8001
m	712	965	150	150	0	0	1650s	100	1	8001
m	276	1107	200	150	0	0	1950s	100	1	8002
m	865	809	200	150	0	0	1850s	100	1	8003
m	870	835	200	150	0	0	2000s	100	1	8003
m	213	472	150	150	0	0	1550s	100	1	8003
m	494	930	200	150	0	0	2550s	100	1	8003
m	850	585	200	150	0	0	1050s	100	1	8003

r	76	70	100	100	0	0	3555s	100	1	2001
r	583	71	100	100	0	0	3560s	100	1	2001
r	203	90	100	100	0	0	3565s	100	1	2001
r	607	90	100	100	0	0	3570s	100	1	2001
r	603	117	100	100	0	0	3575s	100	1	2001
r	223	148	100	100	0	0	3580s	100	1	2001
r	340	174	100	100	0	0	3585s	100	1	2001
r	739	222	100	100	0	0	3590s	100	1	2001
r	822	260	100	100	0	0	3595s	100	1	2001
r	492	341	100	100	0	0	3600s	100	1	2001
r	302	343	100	100	0	0	3605s	100	1	2001
r	910	347	100	100	0	0	3610s	100	1	2001
r	553	372	100	100	0	0	3615s	100	1	2001
r	182	524	100	100	0	0	3620s	100	1	2001
r	94	619	100	100	0	0	3625s	100	1	2001
r	360	672	100	100	0	0	3630s	100	1	2001
r	524	700	100	100	0	0	3635s	100	1	2001
r	523	716	100	100	0	0	3640s	100	1	2001
r	563	720	100	100	0	0	3645s	100	1	2001
r	198	807	100	100	0	0	3650s	100	1	2001
